Concurrent task count,Total task size (MB),New task start time (relative),Total latency (excluding new task),New task latency,New task size (MB),New task FLOPs (GFLOPs),CPU frequency (GHz),Task start times,Task operations (FLOPs)
1,57.8413,0.1734,2.4307,2.7192,61.4555,106.86,1.6969,[0.1257],[106.86]
1,57.8413,0.173,2.6222,2.8166,60.5415,123.3,1.7146,[0.1783],[106.86]
1,60.5415,0.293,2.2367,1.32,16.2015,41.1,1.9597,[0.0224],[123.3]
1,61.4555,0.2837,2.1092,0.7973,6.8019,82.2,2.0498,[0.053],[106.86]
1,16.2015,0.3456,0.8583,2.3537,57.8413,106.86,1.6821,[0.0273],[41.1]
1,60.5415,0.2607,2.8256,2.8199,62.6262,131.52,1.5916,[0.088],[123.3]
1,11.7294,0.2177,0.8829,2.4082,62.6262,131.52,1.6424,[0.1634],[106.86]
1,62.6262,0.2489,2.6502,2.8742,60.5415,123.3,1.7915,[0.0959],[131.52]
1,62.6262,0.1639,2.4159,1.214,16.2015,41.1,1.7276,[0.1793],[131.52]
1,60.5415,0.2394,2.3937,1.0009,11.7294,106.86,2.0306,[0.0589],[123.3]
1,6.8019,0.1305,0.6153,0.7804,11.7294,106.86,1.8687,[0.0987],[82.2]
1,11.7294,0.114,0.8746,2.3771,62.6262,131.52,1.7094,[0.0964],[106.86]
1,16.2015,0.2413,0.9281,1.0291,11.7294,106.86,1.8115,[0.1432],[41.1]
1,61.4555,0.1341,2.5882,2.7394,60.5415,123.3,1.6987,[0.1004],[106.86]
1,61.4555,0.3526,2.7063,3.0063,62.6262,131.52,1.6977,[0.1129],[106.86]
1,61.4555,0.2702,2.4238,2.75,60.5415,123.3,1.5639,[0.0559],[106.86]
1,26.1889,0.1918,1.1802,0.9331,11.7294,106.86,1.9342,[0.0535],[73.98]
1,60.5415,0.2949,2.2132,2.3946,35.3044,312.36,1.6299,[0.0665],[123.3]
1,16.2015,0.2707,0.9639,1.8523,35.3044,312.36,1.7875,[0.0113],[41.1]
1,6.8019,0.1722,0.5923,0.6703,6.8019,82.2,1.8556,[0.1788],[82.2]
1,57.8413,0.1253,2.0591,0.7874,6.8019,82.2,1.9781,[0.1513],[106.86]
1,6.8019,0.2067,0.633,1.5114,35.3044,312.36,1.741,[0.1731],[82.2]
1,61.4555,0.2043,2.4975,2.7994,61.4555,106.86,1.6831,[0.0304],[106.86]
1,16.2015,0.2839,0.8965,1.4364,26.1889,73.98,1.801,[0.1485],[41.1]
1,11.7294,0.1515,1.0504,2.5322,62.6262,131.52,1.6489,[0.1562],[106.86]
1,61.4555,0.2749,2.1481,0.985,11.7294,106.86,1.7219,[0.1666],[106.86]
1,6.8019,0.1449,0.6053,2.3016,62.6262,131.52,1.6925,[0.0651],[82.2]
1,16.2015,0.1662,0.8736,2.4158,60.5415,123.3,1.6704,[0.0554],[41.1]
1,16.2015,0.2146,0.9642,2.5036,61.4555,106.86,1.6232,[0.0591],[41.1]
1,6.8019,0.2774,0.6518,1.4017,26.1889,73.98,1.8052,[0.1653],[82.2]
1,11.7294,0.2332,0.9358,2.3928,60.5415,123.3,1.7238,[0.18],[106.86]
1,57.8413,0.211,2.1926,0.9541,11.7294,106.86,1.8496,[0.1451],[106.86]
1,60.5415,0.2979,2.4577,2.9779,60.5415,123.3,1.65,[0.0551],[123.3]
1,61.4555,0.2371,3.4465,3.4253,62.6262,131.52,1.6914,[0.1256],[106.86]
1,26.1889,0.2525,1.2139,0.8696,6.8019,82.2,1.801,[0.0759],[73.98]
1,62.6262,0.2332,2.3365,1.2149,16.2015,41.1,1.8374,[0.0969],[131.52]
1,61.4555,0.1713,2.5519,2.7381,60.5415,123.3,1.5777,[0.1916],[106.86]
1,6.8019,0.2259,0.6425,1.5382,35.3044,312.36,1.6958,[0.172],[82.2]
1,16.2015,0.2816,1.118,2.5961,57.8413,106.86,1.6781,[0.1108],[41.1]
1,6.8019,0.129,0.6158,2.3223,62.6262,131.52,1.5492,[0.0488],[82.2]
1,26.1889,0.2544,1.3306,2.7956,62.6262,131.52,1.7068,[0.176],[73.98]
1,57.8413,0.153,2.0646,0.7914,6.8019,82.2,2.0673,[0.1456],[106.86]
1,61.4555,0.2545,2.6957,2.6958,57.8413,106.86,1.9284,[0.1762],[106.86]
1,16.2015,0.1471,1.0688,0.8884,6.8019,82.2,1.9323,[0.1967],[41.1]
1,61.4555,0.1192,2.22,1.0525,11.7294,106.86,1.7313,[0.0832],[106.86]
1,57.8413,0.1861,2.2952,2.5672,57.8413,106.86,1.7916,[0.1573],[106.86]
1,11.7294,0.1267,0.7295,0.9557,16.2015,41.1,1.8608,[0.0279],[106.86]
1,6.8019,0.2685,0.608,2.3109,61.4555,106.86,1.6542,[0.0429],[82.2]
1,26.1889,0.2491,1.4133,1.5802,26.1889,73.98,1.8121,[0.0604],[73.98]
1,61.4555,0.1701,2.6927,2.6877,60.5415,123.3,2.0683,[0.0727],[106.86]
1,16.2015,0.2257,0.8395,0.724,6.8019,82.2,1.9851,[0.0114],[41.1]
1,11.7294,0.1231,0.7095,0.8039,11.7294,106.86,1.8717,[0.1866],[106.86]
1,62.6262,0.2096,2.4079,1.5185,26.1889,73.98,1.8517,[0.1522],[131.52]
1,60.5415,0.2397,2.833,2.8238,61.4555,106.86,1.686,[0.112],[123.3]
1,11.7294,0.2211,0.9194,2.3646,61.4555,106.86,1.6848,[0.1002],[106.86]
1,6.8019,0.157,0.5955,1.2463,26.1889,73.98,1.8156,[0.065],[82.2]
1,61.4555,0.1511,2.68,2.8779,62.6262,131.52,1.7045,[0.0882],[106.86]
1,61.4555,0.1848,2.9496,2.9631,62.6262,131.52,1.8474,[0.1237],[106.86]
1,6.8019,0.2485,0.6952,1.0372,16.2015,41.1,1.9496,[0.0743],[82.2]
1,35.3044,0.1143,1.8779,2.2984,57.8413,106.86,1.8334,[0.1571],[312.36]
1,35.3044,0.1101,1.8635,2.3995,62.6262,131.52,1.575,[0.022],[312.36]
1,60.5415,0.1682,2.5937,2.7954,60.5415,123.3,1.7224,[0.0228],[123.3]
1,6.8019,0.2937,0.5746,2.2036,61.4555,106.86,1.7677,[0.1475],[82.2]
1,11.7294,0.2923,0.8912,2.2735,57.8413,106.86,1.5313,[0.0109],[106.86]
1,62.6262,0.2187,2.704,2.7003,57.8413,106.86,1.7908,[0.1498],[131.52]
1,57.8413,0.2648,2.2603,2.0397,35.3044,312.36,1.7646,[0.1948],[106.86]
1,60.5415,0.1974,2.3399,1.5006,26.1889,73.98,1.8299,[0.0113],[123.3]
1,61.4555,0.1611,2.8651,2.8705,57.8413,106.86,1.7333,[0.0276],[106.86]
1,26.1889,0.1815,1.451,2.551,57.8413,106.86,1.6196,[0.1529],[73.98]
1,60.5415,0.1432,3.0432,3.0676,60.5415,123.3,1.8888,[0.0157],[123.3]
1,16.2015,0.2276,0.8749,2.4275,61.4555,106.86,1.8799,[0.0551],[41.1]
1,62.6262,0.1889,2.1894,0.7948,6.8019,82.2,2.044,[0.1489],[131.52]
1,6.8019,0.2536,0.554,0.6765,6.8019,82.2,1.935,[0.1233],[82.2]
1,62.6262,0.3583,2.4623,1.286,16.2015,41.1,2.0781,[0.0306],[131.52]
1,11.7294,0.1437,0.6883,0.6931,6.8019,82.2,2.0957,[0.0955],[106.86]
